identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status
00-011,00-0011,28.01.2021,Департамент міського господарства,11,28.01.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Трускавецька,біля парку ім. Б. Хмельницького,49.33329,23.51351,тополя,3,1,2,09.02.2021,2021,дерево обрізано
00-011,00-0012,28.01.2021,Департамент міського господарства,11,28.01.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Трускавецька,біля парку ім. Б. Хмельницького,49.33336,23.51355,тополя,3,2,1,09.02.2021,2021,дерево обрізано
00-011,00-0013,28.01.2021,Департамент міського господарства,11,28.01.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Трускавецька,біля парку ім. Б. Хмельницького,49.33372,23.51276,тополя,3,3,0,09.02.2021,2021,дерево обрізано
00-010,00-0011,28.01.2021,Департамент міського господарства,10,28.01.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Карпатська.11,прибудинкова територія,49.35303,23.51397,ясен,1,1,0,26.02.2021,2021,обрізання крони
00-015,00-0019,04.02.2021,Департамент міського господарства,15,04.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Завіжна.15,-,49.34988,23.48828,ясен,1,1,0,25.03.2021,2021,обрізання крони
00-020,00-0020,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35284,23.50662,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0021,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.3529,23.507,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0022,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35296,23.50655,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0023,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35283,23.50812,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0024,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35282,23.50738,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0025,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.3529,23.5085,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0026,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35276,23.50678,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0027,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35267,23.50836,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0028,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35287,23.50662,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0029,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35345,23.50741,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0030,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35309,23.50711,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0031,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35302,23.50868,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0032,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.3531,23.5085,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0033,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35358,23.50636,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0034,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35352,23.50716,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0035,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35294,23.50648,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0036,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35298,23.50734,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0037,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35294,23.50676,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0038,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35289,23.50751,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0039,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35304,23.50688,липа,1,1,0,12.03.2021,2021,обрізання крони
00-020,00-0040,24.02.2021,Департамент міського господарства,20,24.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. І. Франка,біля скверу С. Бандери,49.35311,23.50693,липа,1,1,0,12.03.2021,2021,обрізання крони
00-021,00-0041,25.02.2021,Департамент міського господарства,21,25.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Л. Українки. 70,прокуратура,49.35643,23.50225,ясень,1,1,1,05.03.2021,2021,обрізання крони
00-021,00-0041,25.02.2021,Департамент міського господарства,21,25.02.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. Л. Українки. 70,прокуратура,49.35647,23.50226,ясень,1,1,1,05.03.2021,2021,обрізання крони
00-029,00-0049,22.03.2021,Департамент міського господарства,29,22.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Дрогобич,вул. П. Орлика 7/2. 7/3,-,49.35638,23.51220,акація,1,1,0,24.03.2021,2021,обрізання крони
00-030,00-0050,22.03.2021,Департамент міського господарства,30,22.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Почаєвичі,вул. Шкільна,-,49.35880,23.57885,береза,1,1,0,26.03.2021,2021,обрізання крони
00-030,00-0051,22.03.2021,Департамент міського господарства,30,22.03.2021,"КП ""Служба муніципального управління""",43032951,Україна,Львівська,Раневичі,вул. Дрогобицька,-,49.34423,23.56315,липа,1,1,0,06.04.2021,2021,обрізання крони
