identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0021,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. В.Великого. 15,null,49.357173,23.531818,Верба,2,,,,,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0022,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Стрийська. 179,null,49.351903,23.527929,Верба,5,,,,,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0023,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Млинарська. 2,null,49.351337,23.529244,Ясень,1,,,,,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0024,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Грушевського. 10,null,49.353853,23.514524,Ясень,1,,,,,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0025,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Міцкевича. 11,null,49.351494,23.501531,Алича,3,,,,,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0026,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Симоненка. 21-23,null,49.356432,23.557943,Тополя,5,,,,,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0027,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Трускавецька. 79,null,49.327649,23.515103,Дуб,6,,,,,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0028,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Тарнавського. 14,null,49.353832,23.496145,Горіх,1,,,,,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0029,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Кн. Ольги. 4.,null,49.355747,23.514958,Дуб,1,,,,,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0030,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул.Війтівська Гора.108,null,49.34763,23.51675,Ялина,1,1,0,10.10.2019,2019,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
