ідентифікатор,actIdentifier,виданий,customerName,номер доручення,orderDate,виконавець,ЄДРПОУ Виконавця,країна,область,місто,streetAddress,опис локації,latitude,longitude,itemSpecies,кількість,виконано,залишилось,дата виконання,рік виконання,статус
00-58-р,00-0031,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Стрийська, 104",null,49.349530,23.523005,тополя,3,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0032,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Сагайдачного, 92",null,49.358388,23.503054,тополя,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0033,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Трускавецька,біля виправної колонії,49.32827,23.51506,тополя,2,2,,8/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0034,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул.В.Великого,66",null,49.35577,23.53349,липа,5,5,,8/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0035,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул.Бориславська,43",null,49.34564,23.50069,тополя,3,3,,8/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0036,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Кменярська ,null,49.34897,23.50179,Вільха,7,7,,8/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0037,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Стрийська 55,null,49.35117,23.51796,тополя,1,1,,8/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0038,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул.Бориславська ,біля музичного коледжу,49.34931,23.50469,горіх,2,2,,8/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0039,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул.В.Великого,11",,49.35688,23.53307,липа,8,8,,8/10/2019,2019,Дозволено розпорядженням міського голови
00-58-р,00-0040,2019-12-4,Дрогобицька міська рада,58-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул.Грушевського,35/2",,49.35326,23.51895,липа,5,5,,8/10/2019,2019,Дозволено розпорядженням міського голови
